Lexeme		Linha	Coluna	Valor	Tree	indice

TK_ident	 0	 13	 -	 50	 29
TK_main		 0	 0	 -	 0	 33
TK_aparen	 0	 4	 -	 0	 34
TK_fparen	 0	 5	 -	 0	 35
TK_achave	 0	 6	 -	 3	 36
TK_while	 0	 7	 -	 4	 37
TK_aparen	 0	 12	 -	 0	 38
TK_fparen	 0	 14	 -	 0	 39
TK_achave	 0	 15	 -	 55	 40
TK_const	 0	 16	 2	 53	 41
TK_ptvirg	 0	 17	 -	 0	 42
TK_fchave	 0	 18	 -	 52	 43
TK_ptvirg	 0	 19	 -	 0	 44
TK_return	 0	 20	 -	 0	 45
TK_aparen	 0	 25	 -	 0	 46
TK_const	 0	 26	 3	 8	 47
TK_fparen	 0	 27	 -	 0	 48
TK_ptvirg	 0	 28	 -	 0	 49
TK_fchave	 0	 29	 -	 11	 50
